feedback_id,feedback_text,source,created_at,customer_id,customer_tier,product_module,product_version,rating,language,feedback_type,category,sentiment,urgency,theme_hint,related_context_id,is_gold_label,label_source
FB-0001,"Ever since the last update I get logged out within like two minutes of signing in with SSO. Have to re-auth constantly, it's driving my whole team crazy.",Support ticket,2026-07-12 09:14:00,CUST-1001,Pro,Authentication,v2.4.0,,en,Bug report,Technical Issue,Negative,High,Login failures after an update,BUG-001,True,Manually verified
FB-0002,session keeps dying right after i log in with okta sso. cant get any work done today,Chat,2026-07-12 11:02:00,CUST-1002,Free,Authentication,v2.4.0,,en,Bug report,Technical Issue,Negative,High,Login failures after an update,BUG-001,False,Synthetic
FB-0003,SSO login is broken since v2.4.0. Session drops after roughly 90 seconds every single time. This is blocking our entire engineering team from using FlowHub during a sprint deadline this week. Please escalate - we are considering downgrading our plan if this isn't fixed soon.,Email,2026-07-13 16:40:00,CUST-1003,Enterprise,Authentication,v2.4.0,,en,Bug report,Technical Issue,Negative,High,Login failures after an update,BUG-001,True,Manually verified
FB-0004,logged out again??,App review,2026-07-13 08:20:00,CUST-1004,Pro,Authentication,v2.5.0,1,en,Bug report,Technical Issue,Negative,Medium,Login failures after an update,BUG-001,True,Manually verified
FB-0005,"I really don't understand why I have to log in five times a day now. It wasn't like this before the update. Please fix it soon, it's testing my patience with the product.",Survey,2026-07-15 13:00:00,CUST-1005,Pro,Authentication,v2.4.0,2,en,Service complaint,Support Experience,Negative,Medium,Login failures after an update,BUG-001,False,Synthetic
FB-0006,Is anyone else having trouble staying logged in after the recent update? Just want to know if it's a known issue or something on my end before I open a ticket.,Community post,2026-07-13 10:30:00,CUST-1006,Free,Authentication,v2.4.0,,en,Question,Inquiry,Neutral,Low,Login failures after an update,BUG-001,True,Manually verified
FB-0007,"Password reset link never arrived in my inbox, checked spam too. Tried three times over two days before giving up and emailing support directly.",Support ticket,2026-06-25 14:12:00,CUST-1007,Free,Authentication,v2.1.0,,en,Bug report,Technical Issue,Negative,Medium,Login failures after an update,BUG-009,False,Synthetic
FB-0008,"Reset password email took almost an hour to show up, by then the link had expired. A bit annoying but I got in eventually.",Email,2026-06-26 09:45:00,CUST-1008,Pro,Authentication,v2.1.0,,en,Usability issue,Product Feedback,Mixed,Low,Login failures after an update,BUG-009,True,Manually verified
FB-0009,Absolutely furious. I was locked out of my account for TWO DAYS because your password reset emails never came through. I run my whole team's sprint planning through this tool and had zero access. This better not happen again.,Support ticket,2026-06-26 17:55:00,CUST-1009,Enterprise,Authentication,v2.1.0,1,en,Service complaint,Support Experience,Negative,High,Login failures after an update,BUG-009,True,Manually verified
FB-0010,"quick note - login page redesign looks a lot cleaner after the update, nice work. still logs me out kinda fast tho lol",App review,2026-07-15 20:10:00,CUST-1010,Pro,Authentication,v2.4.0,3,en,Bug report,Technical Issue,Mixed,Low,Login failures after an update,BUG-001,True,Manually verified
FB-0011,Task assignment notifications are showing up over an hour late. By the time I see them the deadline has practically passed.,Support ticket,2026-07-05 09:00:00,CUST-1011,Pro,Notifications,v2.3.0,,en,Bug report,Technical Issue,Negative,High,Delayed notifications,BUG-002,False,Synthetic
FB-0012,"Push notifications on my phone are so delayed they're basically useless at this point, sometimes 2 hours behind.",App review,2026-07-06 12:40:00,CUST-1012,Free,Notifications,v2.4.0,2,en,Bug report,Technical Issue,Negative,High,Delayed notifications,BUG-002,False,Synthetic
FB-0013,"getting notifs like 45 min after someone mentions me, kinda defeats the purpose",Chat,2026-07-07 15:20:00,CUST-1013,Pro,Notifications,v2.3.0,,en,Bug report,Technical Issue,Negative,Medium,Delayed notifications,BUG-002,False,Synthetic
FB-0014,"Notification delivery has gotten noticeably slower since the pipeline update. Not completely broken, just sluggish and inconsistent - sometimes instant, sometimes an hour later.",Survey,2026-07-08 08:55:00,CUST-1014,Pro,Notifications,v2.3.0,3,en,Performance issue,Technical Issue,Mixed,Medium,Delayed notifications,BUG-002,True,Manually verified
FB-0015,It's not clear from the settings page whether 'instant' notifications actually mean instant anymore. Might be worth updating the label since there's clearly a delay built in now.,Community post,2026-07-09 10:10:00,CUST-1015,Pro,Notifications,v2.3.0,,en,Usability issue,Product Feedback,Neutral,Low,Delayed notifications,,False,Synthetic
FB-0016,"Mobile push notifications straight up don't arrive for me anymore, not even delayed. In-app ones still work fine though.",App review,2026-07-09 19:00:00,CUST-1016,Free,Notifications,v2.4.0,2,en,Bug report,Technical Issue,Negative,High,Delayed notifications,,False,Synthetic
FB-0017,"My notification preferences keep resetting to default every time I log out. Have to redo my digest settings constantly, and in the meantime I get instant pings I specifically turned off.",Support ticket,2026-07-04 13:30:00,CUST-1017,Pro,Notifications,v2.3.0,,en,Bug report,Technical Issue,Negative,Medium,Delayed notifications,BUG-014,False,Synthetic
FB-0018,"Noticed notifications lag more during business hours, presumably a load issue on your end. Seems fine late at night.",Survey,2026-07-10 09:20:00,CUST-1018,Pro,Notifications,v2.4.0,3,en,Performance issue,Technical Issue,Neutral,Low,Delayed notifications,,False,Synthetic
FB-0019,"Das ist jetzt das dritte Mal, dass ich verzoegerte Benachrichtigungen melde, und der Support sagt nur, ich solle den Cache leeren.",Support ticket,2026-07-11 11:15:00,CUST-1019,Pro,Notifications,v2.4.0,,de,Service complaint,Support Experience,Negative,Medium,Delayed notifications,BUG-002,True,Manually verified
FB-0020,"The dashboard takes forever to load now, easily 10-15 seconds every morning when I first open it.",Support ticket,2026-06-30 08:40:00,CUST-1020,Pro,Dashboard,v2.2.0,,en,Performance issue,Technical Issue,Negative,Medium,Slow dashboard loading,BUG-003,False,Synthetic
FB-0021,Dashboard loading has gotten really slow since the widget redesign. We have a big workspace (600+ tasks) so maybe that's related.,Email,2026-06-30 10:05:00,CUST-1021,Enterprise,Dashboard,v2.2.0,,en,Performance issue,Technical Issue,Neutral,Medium,Slow dashboard loading,BUG-003,False,Synthetic
FB-0022,anyone else's dashboard just... hanging on load? spinning wheel for like 15 secs before anything shows up,Community post,2026-07-01 21:00:00,CUST-1022,Free,Dashboard,v2.2.0,,en,Performance issue,Technical Issue,Negative,Low,Slow dashboard loading,BUG-003,False,Synthetic
FB-0023,"Dashboard performance has degraded noticeably over the past month. Loading the widgets view now takes 8-12 seconds consistently on our Enterprise workspace, compared to under 2 seconds before v2.2.0.",Support ticket,2026-07-01 09:30:00,CUST-1023,Enterprise,Dashboard,v2.3.0,,en,Performance issue,Technical Issue,Negative,Medium,Slow dashboard loading,BUG-003,True,Manually verified
FB-0024,"Search within the dashboard is slow too, not just the initial load. Typing a query and waiting 3-4 seconds for results feels dated.",Chat,2026-07-02 14:00:00,CUST-1024,Pro,Dashboard,v2.3.0,,en,Performance issue,Technical Issue,Neutral,Low,Slow dashboard loading,,False,Synthetic
FB-0025,"dashboard so slow today, is something down?",Chat,2026-07-03 16:45:00,CUST-1025,Free,Dashboard,v2.3.0,,en,Performance issue,Technical Issue,Negative,Low,Slow dashboard loading,BUG-003,False,Synthetic
FB-0026,Dashboard widgets sometimes don't load at all and just show a blank grey box until I refresh the page.,Support ticket,2026-07-03 11:10:00,CUST-1026,Pro,Dashboard,v2.3.0,,en,Bug report,Technical Issue,Negative,Medium,Slow dashboard loading,BUG-003,False,Synthetic
FB-0027,The activity feed widget on my dashboard hasn't updated in three days even though my team has been actively working.,Email,2026-07-04 09:50:00,CUST-1027,Pro,Dashboard,v2.3.0,,en,Bug report,Technical Issue,Negative,Medium,Slow dashboard loading,,False,Synthetic
FB-0028,We pay for the Enterprise plan specifically for reliability and the dashboard has been embarrassingly slow for weeks now. I've mentioned this in two previous tickets with no resolution.,Support ticket,2026-07-04 15:25:00,CUST-1028,Enterprise,Dashboard,v2.3.0,,en,Service complaint,Support Experience,Negative,High,Slow dashboard loading,BUG-003,False,Synthetic
FB-0029,"I was charged twice for my annual renewal this month. Please refund the duplicate charge immediately, this is unacceptable for a billing system.",Support ticket,2026-06-26 10:00:00,CUST-1029,Pro,Billing,v2.1.0,,en,Service complaint,Support Experience,Negative,High,Confusing billing charges,BUG-004,True,Manually verified
FB-0030,"Got double-billed on renewal. Support said it's a 'known issue' - if it's known, why wasn't it fixed before charging customers again?",Community post,2026-06-27 12:30:00,CUST-1030,Pro,Billing,v2.1.0,,en,Service complaint,Support Experience,Negative,High,Confusing billing charges,BUG-004,False,Synthetic
FB-0031,My latest invoice has a tax line that doesn't match my region's actual tax rate. Either fix the invoice or explain the discrepancy.,Email,2026-07-20 09:15:00,CUST-1031,Pro,Billing,v2.5.0,,en,Service complaint,Support Experience,Negative,Medium,Confusing billing charges,BUG-013,False,Synthetic
