feedback_id,feedback_text,source,created_at,customer_id,customer_tier,product_module,product_version,rating,language,feedback_type,category,sentiment,urgency,theme_hint,related_context_id,is_gold_label,label_source,gold_notes
FB-0001,"Ever since the last update I get logged out within like two minutes of signing in with SSO. Have to re-auth constantly, it's driving my whole team crazy.",Support ticket,2026-07-12 09:14:00,CUST-1001,Pro,Authentication,v2.4.0,,en,Bug report,Technical Issue,Negative,High,Login failures after an update,BUG-001,True,Manually verified,"Clear, unambiguous bug report tied to a known open bug (BUG-001)."
FB-0003,SSO login is broken since v2.4.0. Session drops after roughly 90 seconds every single time. This is blocking our entire engineering team from using FlowHub during a sprint deadline this week. Please escalate - we are considering downgrading our plan if this isn't fixed soon.,Email,2026-07-13 16:40:00,CUST-1003,Enterprise,Authentication,v2.4.0,,en,Bug report,Technical Issue,Negative,High,Login failures after an update,BUG-001,True,Manually verified,"Angry, detailed Enterprise report; release-related (v2.4.0 regression)."
FB-0004,logged out again??,App review,2026-07-13 08:20:00,CUST-1004,Pro,Authentication,v2.5.0,1,en,Bug report,Technical Issue,Negative,Medium,Login failures after an update,BUG-001,True,Manually verified,"Very short, ambiguous feedback - could read as bug report or complaint."
FB-0006,Is anyone else having trouble staying logged in after the recent update? Just want to know if it's a known issue or something on my end before I open a ticket.,Community post,2026-07-13 10:30:00,CUST-1006,Free,Authentication,v2.4.0,,en,Question,Inquiry,Neutral,Low,Login failures after an update,BUG-001,True,Manually verified,Ambiguous: phrased as a question but describes the same known bug.
FB-0008,"Reset password email took almost an hour to show up, by then the link had expired. A bit annoying but I got in eventually.",Email,2026-06-26 09:45:00,CUST-1008,Pro,Authentication,v2.1.0,,en,Usability issue,Product Feedback,Mixed,Low,Login failures after an update,BUG-009,True,Manually verified,Mixed sentiment (relief + lingering annoyance) on a fixed bug.
FB-0009,Absolutely furious. I was locked out of my account for TWO DAYS because your password reset emails never came through. I run my whole team's sprint planning through this tool and had zero access. This better not happen again.,Support ticket,2026-06-26 17:55:00,CUST-1009,Enterprise,Authentication,v2.1.0,1,en,Service complaint,Support Experience,Negative,High,Login failures after an update,BUG-009,True,Manually verified,"Angry, high-urgency service complaint from an Enterprise customer."
FB-0010,"quick note - login page redesign looks a lot cleaner after the update, nice work. still logs me out kinda fast tho lol",App review,2026-07-15 20:10:00,CUST-1010,Pro,Authentication,v2.4.0,3,en,Bug report,Technical Issue,Mixed,Low,Login failures after an update,BUG-001,True,Manually verified,Mixed sentiment: praise for a redesign plus a bug complaint in one message.
FB-0014,"Notification delivery has gotten noticeably slower since the pipeline update. Not completely broken, just sluggish and inconsistent - sometimes instant, sometimes an hour later.",Survey,2026-07-08 08:55:00,CUST-1014,Pro,Notifications,v2.3.0,3,en,Performance issue,Technical Issue,Mixed,Medium,Delayed notifications,BUG-002,True,Manually verified,"Mixed sentiment performance complaint, moderate detail."
FB-0019,"Das ist jetzt das dritte Mal, dass ich verzoegerte Benachrichtigungen melde, und der Support sagt nur, ich solle den Cache leeren.",Support ticket,2026-07-11 11:15:00,CUST-1019,Pro,Notifications,v2.4.0,,de,Service complaint,Support Experience,Negative,Medium,Delayed notifications,BUG-002,True,Manually verified,Non-English (German) service complaint; tests language robustness.
FB-0023,"Dashboard performance has degraded noticeably over the past month. Loading the widgets view now takes 8-12 seconds consistently on our Enterprise workspace, compared to under 2 seconds before v2.2.0.",Support ticket,2026-07-01 09:30:00,CUST-1023,Enterprise,Dashboard,v2.3.0,,en,Performance issue,Technical Issue,Negative,Medium,Slow dashboard loading,BUG-003,True,Manually verified,"Detailed, release-related performance regression report (Enterprise)."
FB-0029,"I was charged twice for my annual renewal this month. Please refund the duplicate charge immediately, this is unacceptable for a billing system.",Support ticket,2026-06-26 10:00:00,CUST-1029,Pro,Billing,v2.1.0,,en,Service complaint,Support Experience,Negative,High,Confusing billing charges,BUG-004,True,Manually verified,"Clear, unambiguous service complaint tied to a known critical bug."
FB-0034,Why is there a tax charge on my invoice this month that wasn't there last month? Did something change with your billing setup?,Chat,2026-07-21 10:20:00,CUST-1034,Pro,Billing,v2.5.0,,en,Question,Inquiry,Neutral,Medium,Confusing billing charges,BUG-013,True,Manually verified,Billing question directly tied to a known bug (BUG-013); release-related.
FB-0038,App crashes every single time I try to open a task that has a file attached. Happens on both my phone and tablet.,App review,2026-07-17 09:00:00,CUST-1038,Pro,Mobile App,v2.5.0,1,en,Bug report,Technical Issue,Negative,High,Mobile app crashes,BUG-005,True,Manually verified,"Clear, unambiguous bug report tied to a known open bug (BUG-005)."
FB-0044,"crashes on opening any task w attachments, android, super annoying",App review,2026-07-20 09:05:00,CUST-1044,Pro,Mobile App,v2.5.0,1,en,Bug report,Technical Issue,Negative,High,Mobile app crashes,BUG-005,True,Manually verified,"Short, informal near-duplicate of another crash report (same bug, different wording)."
FB-0047,"Please, please add a dark mode option for the dashboard. I work late a lot and the bright white screen is rough on the eyes.",Community post,2026-07-05 21:00:00,CUST-1046,Pro,Dashboard,v2.4.0,,en,Feature request,Product Feedback,Neutral,Low,Missing dark mode,FR-001,True,Manually verified,"Clear duplicate of an existing, planned feature request (FR-001)."
FB-0050,dark mode pls my eyes are dying,App review,2026-07-08 22:30:00,CUST-1049,Free,Dashboard,v2.4.0,3,en,Feature request,Product Feedback,Neutral,Low,Missing dark mode,FR-001,True,Manually verified,"Very short, informal duplicate feature request with emoji-free slang."
FB-0057,Google Calendar sync is creating duplicate events for the same task every time I edit the due date.,Support ticket,2026-07-19 10:40:00,CUST-1056,Pro,Integrations,v2.4.0,,en,Bug report,Technical Issue,Negative,High,Integration synchronization failures,BUG-011,True,Manually verified,"Known bug report, release-related (Google Calendar duplicate events)."
FB-0062,Reported the duplicate calendar event bug a month ago and it's still happening. This makes the integration basically unusable for our team's planning.,Support ticket,2026-07-22 09:30:00,CUST-1057,Enterprise,Integrations,v2.4.0,,en,Service complaint,Support Experience,Negative,High,Integration synchronization failures,BUG-011,True,Manually verified,Follow-up service complaint on a known bug still unresolved; release-related.
FB-0063,"Exporting a report to CSV silently drops everything past 1000 rows. No warning, no error, I only noticed because the numbers looked wrong.",Support ticket,2026-06-25 10:00:00,CUST-1061,Pro,Reports,v2.1.0,,en,Usability issue,Product Feedback,Negative,Medium,Difficulty exporting reports,BUG-007,True,Manually verified,Known bug (export truncation) framed as a usability issue - tests type ambiguity.
FB-0066,"Can we get Excel export with actual formatting (colors, headers) instead of plain CSV? Copy-pasting into a template every week is tedious.",Community post,2026-06-28 09:40:00,CUST-1064,Pro,Reports,v2.2.0,,en,Feature request,Product Feedback,Neutral,Low,Difficulty exporting reports,FR-004,True,Manually verified,Feature request using similar 'export' wording to item 63 but a different meaning entirely.
FB-0073,Duplicating a project copies the tasks but not the custom fields I set up. Have to redo all of them by hand every time.,Chat,2026-06-26 11:00:00,CUST-1071,Pro,Task Management,v2.1.0,,en,Bug report,Technical Issue,Negative,Low,,,True,Manually verified,New issue with no matching known bug - tests correct empty context handling.
FB-0084,Would be great to select a bunch of tasks at once and change their status together instead of clicking into each one individually.,Community post,2026-06-26 10:00:00,CUST-1082,Pro,Task Management,v2.1.0,,en,Feature request,Product Feedback,Neutral,Low,,FR-002,True,Manually verified,Clear duplicate of an existing under-review feature request (FR-002).
FB-0093,Custom fields on tasks - even just 2-3 free text or dropdown fields - would cover so many workflows this tool currently can't handle.,Community post,2026-07-01 16:30:00,CUST-1091,Enterprise,Task Management,v2.2.0,,en,Feature request,Product Feedback,Neutral,Low,,,True,Manually verified,Genuinely new feature request idea not present in any context file.
FB-0106,"Creating a new task takes way too many clicks - modal, then a second modal for assignee, then a third for due date. Could easily be one screen.",Chat,2026-06-27 10:00:00,CUST-1104,Pro,Task Management,v2.1.0,,en,Usability issue,Product Feedback,Negative,Low,,,True,Manually verified,"New usability issue, no context match, moderate ambiguity in severity."
